Okonomi / Yuji Ramen	{'lat': 40.7125377, 'lng': -73.948781}
Socarrat	{'lat': 40.75532450000001, 'lng': -73.96851219999999}
Bar Breton	{'lat': 40.74492879999999, 'lng': -73.98753719999999}
Delicatessen	{'lat': 40.723558, 'lng': -73.99636799999999}
Shang	{'lat': 40.72213920000001, 'lng': -73.9882654}
Vinegar Hill House	{'lat': 40.70275499999999, 'lng': -73.9812884}
Schnipper’s Quality Kitchen	{'lat': 40.75644779999999, 'lng': -73.9902017}
Walter Foods	{'lat': 40.713555, 'lng': -73.958551}
Co.	{'lat': 40.7471434, 'lng': -74.0005236}
Lulu	{'lat': 40.69303899999999, 'lng': -73.972968}
Corton	{'lat': 40.7195598, 'lng': -74.0057489}
Buttermilk Channel	{'lat': 40.67599800000001, 'lng': -73.9992285}
10 Downing Food & Wine	{'lat': 40.72953699999999, 'lng': -74.002681}
L’Artusi	{'lat': 40.73380179999999, 'lng': -74.00515}
The John Dory	{'lat': 40.7458198, 'lng': -73.988434}
Txikito	{'lat': 40.74736849999999, 'lng': -74.0003645}
Graffiti	{'lat': 40.72905, 'lng': -73.9856179}
Braeburn	{'lat': 40.7352051, 'lng': -74.00681809999999}
Dirt Candy	{'lat': 40.71790319999999, 'lng': -73.9907238}
Flex Mussels	{'lat': 40.7763184, 'lng': -73.9564863}
Café Select	{'lat': 40.7218158, 'lng': -73.9979244}
Irving Mill	{'lat': 40.7354396, 'lng': -73.9884795}
JoeDoe	{'lat': 40.7237362, 'lng': -73.989948}
Secession	{'lat': 40.71681909999999, 'lng': -74.0092703}
Char No. 4	{'lat': 40.6850666, 'lng': -73.9917638}
Libertine	{'lat': 40.707894, 'lng': -74.007108}
Convivio	{'lat': 40.68104299999999, 'lng': -73.977509}
Allegretti	{'lat': 40.74170460000001, 'lng': -73.99246529999999}
Yerba Buena	{'lat': 40.7229834, 'lng': -73.9861262}
Matsugen	{'lat': 40.7174008, 'lng': -74.0057854}
Apiary	{'lat': 40.7311967, 'lng': -73.98896080000002}
No. 7	{'lat': 40.6860065, 'lng': -73.97308679999999}
James	{'lat': 40.679016, 'lng': -73.9714834}
Nizza	{'lat': 40.7599294, 'lng': -73.9911436}
I Sodi	{'lat': 40.733447, 'lng': -74.0050074}
General Greene	{'lat': 40.6896903, 'lng': -73.970327}
Square Meal	{'lat': 40.7846831, 'lng': -73.9563204}
The New French	{'lat': 40.721946, 'lng': -73.987285}
Shalizar and Ravagh	{'lat': 40.7456526, 'lng': -73.98548989999999}
Scarpetta	{'lat': 40.74093789999999, 'lng': -74.00481409999999}
Rhong-Tiam	{'lat': 40.7396266, 'lng': -73.9884746}
Eighty One	{'lat': 40.785791, 'lng': -73.97814799999999}
Adour	{'lat': 40.76135329999999, 'lng': -73.974625}
Blue Ribbon Downing Street Bar	{'lat': 40.7291792, 'lng': -74.003888}
Ago	{'lat': 40.7198617, 'lng': -74.0100406}
BAR Q	{'lat': 41.00215499999999, 'lng': -73.662426}
Bar Boulud	{'lat': 40.77190400000001, 'lng': -73.981955}
Mia Dona	{'lat': 40.7606096, 'lng': -73.96651159999999}
Café Katja	{'lat': 40.7176814, 'lng': -73.9905954}
Elettaria	{'lat': 40.7330651, 'lng': -73.9980058}
Commerce	{'lat': 40.7317831, 'lng': -74.0045627}
Spicy & Tasty	{'lat': 40.7404865, 'lng': -74.0060568}
South Gate	{'lat': 40.76628669999999, 'lng': -73.9780237}
Bobo	{'lat': 40.7344365, 'lng': -74.0026147}
Allen & Delancey	{'lat': 40.76010900000001, 'lng': -73.98907410000001}
Dovetail	{'lat': 40.7809408, 'lng': -73.9766199}
Egg	{'lat': 40.716719, 'lng': -73.9616842}
Market Table	{'lat': 40.729731, 'lng': -74.0037198}
Smith’s	{'lat': 40.7715041, 'lng': -73.98185579999999}
Park Avenue Winter	{'lat': 40.7420761, 'lng': -73.98538959999999}
Fiamma	{'lat': 40.7635436, 'lng': -73.7698893}
The Smith	{'lat': 40.7715041, 'lng': -73.98185579999999}
Dell’Anima	{'lat': 40.7379835, 'lng': -74.0040368}
Omido	{'lat': 40.7636912, 'lng': -73.98288509999999}
Bar Blanc	{'lat': 40.7272819, 'lng': -74.00251949999999}
Toloache	{'lat': 40.7764631, 'lng': -73.9566962}
Peri Ela	{'lat': 40.78226799999999, 'lng': -73.95335200000001}
Back Forty	{'lat': 40.723764, 'lng': -73.99690799999999}
Kyo Ya	{'lat': 40.7266668, 'lng': -73.9853554}
Stonehome Wine Bar	{'lat': 40.68739469999999, 'lng': -73.9748764}
BLT Market	{'lat': 40.7653959, 'lng': -73.97620049999999}
Taïm	{'lat': 40.7359917, 'lng': -74.00197159999999}
Kefi	{'lat': 40.7852842, 'lng': -73.9726622}
El Quinto Pino	{'lat': 40.747426, 'lng': -74.0011844}
Wakiya	{'lat': 40.7405211, 'lng': -73.99172829999999}
Zenkichi	{'lat': 40.71897719999999, 'lng': -73.960848}
Gemma	{'lat': 40.7260522, 'lng': -73.99153830000002}
Borough Food & Drink	{'lat': 40.687531, 'lng': -73.95716399999999}
P*ong	{'lat': 40.73443750000001, 'lng': -74.0011566}
Marlow & Sons	{'lat': 40.71067310000001, 'lng': -73.96565319999999}
Hill Country	{'lat': 40.7442885, 'lng': -73.9904687}
Ramen Setagaya	{'lat': 40.8520797, 'lng': -73.9719336}
Café St. Bart’s	{'lat': 40.7571324, 'lng': -73.97343169999999}
Insieme	{'lat': 40.76141039999999, 'lng': -73.982782}
Flatbush Farm & the Farm on Adderley	{'lat': 40.6797904, 'lng': -73.9747283}
Casellula	{'lat': 40.7649877, 'lng': -73.9883163}
Perilla	{'lat': 40.732343, 'lng': -74.0022209}
Provence	{'lat': 40.6829577, 'lng': -73.9928824}
Palo Santo	{'lat': 40.6767825, 'lng': -73.9819417}
Ed’s Lobster Bar	{'lat': 40.7220477, 'lng': -73.9976238}
Mercat	{'lat': 40.7259614, 'lng': -73.9929858}
Anthos	{'lat': 40.7602207, 'lng': -73.97748340000001}
Brown Café	{'lat': 40.71585870000001, 'lng': -73.9903423}
Lunetta	{'lat': 40.762412, 'lng': -73.959599}
Morandi	{'lat': 40.7354058, 'lng': -74.0014786}
Rosanjin	{'lat': 40.716488, 'lng': -74.0077507}
Klee	{'lat': 40.7459431, 'lng': -74.0015021}
Sripraphai	{'lat': 40.7464564, 'lng': -73.8992299}
Amorina	{'lat': 40.67753219999999, 'lng': -73.96914210000001}
Falai	{'lat': 40.72350369999999, 'lng': -73.99644719999999}
Dressler	{'lat': 40.7104294, 'lng': -73.96312189999999}
The Waverly Inn & Garden	{'lat': 40.73690879999999, 'lng': -74.0022139}
